### INDEL model ###
# ins_del_ratio=total_number_of_insertions/total_number_of_deletions
ins_del_ratio=0.896778805300719
# indel_size(bp)	indel_freq
1	0.4121267631895
2	0.158847553153003
3	0.0896952097720836
4	0.0952654928775461
5	0.0389993465111275
6	0.0385813507424589
7	0.0234232111056464
8	0.0284502973033076
9	0.0162897998613986
10	0.0171805781238942
11	0.0107108945827964
12	0.0151245490872891
13	0.00767678778065623
14	0.00849571460032096
15	0.00607485986274219
16	0.00703012479517848
17	0.0035943684276138
18	0.00453041309909284
19	0.00246953409009668
20	0.00363316820674247
21	0.00178568798295396
22	0.00195453887360649
23	0.00103376263372901
24	0.00173790677347144
25	0.000770067838539749
26	0.000959216761791989
27	0.000514815587883116
28	0.000777612240036989
29	0.000356023899226914
30	0.000558285710795787
31	0.000226332044917211
32	0.000357281299476454
33	0.00015699540258543
34	0.000188610037431009
35	9.4843904536736e-05
36	0.000142984371233413
37	4.9757124160371e-05
38	6.37681555123888e-05
39	2.29924617058754e-05
40	3.01776059889615e-05
41	6.46662985477746e-06
42	7.72403010431752e-06
43	2.33517189200297e-06
44	1.61665746369436e-06
45	1.79628607077152e-07
46	0
47	0
48	0
49	0
50	0
